"","Rank","Country","Population","Misc"
"188","188","Curacao","151345","        July 2020 est."
"189","189","Aruba","119428","        July 2020 est."
"190","190","Grenada","113094","        July 2020 est."
"191","191","Kiribati","111796","        July 2020 est."
"192","192","Virgin Islands","106235","        July 2020 est."
"193","193","Tonga","106095","        July 2020 est."
"194","194","Micronesia Federated States of","102436","        July 2020 est."
"195","195","Saint Vincent and the Grenadines","101390","        July 2020 est."
"196","196","Jersey","101073","        July 2020 est."
"197","197","Antigua and Barbuda","98179","        July 2020 est."
"198","198","Seychelles","95981","        July 2020 est."
"199","199","Isle of Man","90499","        July 2020 est."
"200","200","Marshall Islands","77917","        July 2020 est."
"201","201","Andorra","77000","        2019 est."
"202","202","Dominica","74243","        July 2020 est."
"203","203","Bermuda","71750","        July 2020 est."
"204","204","Guernsey","67052","        July 2020 est."
"205","205","Cayman Islands","61944","        July 2020 est."
"206","206","Greenland","57616","        July 2020 est."
"207","207","Turks and Caicos Islands","55926","        July 2020 est."
"208","208","Saint Kitts and Nevis","53821","        July 2020 est."
"209","209","Faroe Islands","51628","        July 2020 est."
"210","210","Northern Mariana Islands","51433","        July 2020 est."
"211","211","American Samoa","49437","        July 2020 est."
"212","212","Sint Maarten","43847","        July 2020 est."
"213","213","Liechtenstein","39137","        July 2020 est."
"214","214","Monaco","39000","        2019 est."
"215","215","British Virgin Islands","37381","        July 2020 est."
"216","216","San Marino","34232","        July 2020 est."
"217","217","Saint Martin","32556","        July 2020 est."
"218","218","Gibraltar","29581","        July 2020 est."
"219","219","Palau","21685","        July 2020 est."
"220","220","Anguilla","18090","        July 2020 est."
"221","221","Wallis and Futuna","15854","        July 2020 est."
"222","222","Tuvalu","11342","        July 2020 est."
"223","223","Nauru","11000","        2019 est."
"224","224","Cook Islands","8574","        July 2020 est."
"225","225","Saint Helena Ascension and Tristan da Cunha","7862","        July 2020 est."
"226","226","Saint Barthelemy","7122","        July 2020 est."
"227","227","Montserrat","5373","        July 2020 est."
"228","228","Saint Pierre and Miquelon","5347","        July 2020 est."
"229","229","Falkland Islands (Islas Malvinas)","3198","        2016 est."
"230","230","Svalbard","2926","        July 2019 est."
"231","231","Christmas Island","2205","        2016 est."
"232","232","Niue","2000","        2019"
"233","233","Norfolk Island","1748","        2016 est."
"234","234","Tokelau","1647","        2019 est. est."
"235","235","Paracel Islands","1440","        2014 est."
"236","236","Holy See","1000","        2019 est."
"237","237","Cocos (Keeling) Islands","596","        July 2014 est."
"238","238","Pitcairn Islands","50","        2020 est. est."
"239","0","West Bank and Gaza","4818255","FLOR-Combined CIA entries West Bank & Gaza"
"240","0","Diamond Princess","3711","https://www.cdc.gov/mmwr/volumes/69/wr/mm6912e3.htm#T1_down"
"241","0","MS Zaandam","1432","https://en.wikipedia.org/wiki/MS_Zaandam"
